"id","latitude","longitude","track_id","time"
1,-10.939341385816,-37.062742109742,1,"2014-09-13 07:24:32"
4,-10.939210561656,-37.062843045545,1,"2014-09-13 07:24:47"
5,-10.938938978991,-37.062878598411,1,"2014-09-13 07:24:53"
6,-10.938543591151,-37.062838663136,1,"2014-09-13 07:24:59"
7,-10.938346057651,-37.062587562702,1,"2014-09-13 07:25:04"
8,-10.938448445505,-37.061999825153,1,"2014-09-13 07:25:10"
9,-10.93866607462,-37.061498933964,1,"2014-09-13 07:25:15"
11,-10.939342913189,-37.060086695941,1,"2014-09-13 07:25:27"
12,-10.939641436088,-37.05950309963,1,"2014-09-13 07:25:32"
14,-10.940077290202,-37.05872900324,1,"2014-09-13 07:25:43"
15,-10.940389102131,-37.058290875715,1,"2014-09-13 07:25:49"
18,-10.941479902787,-37.057391375216,1,"2014-09-13 07:26:06"
29,-10.942100072402,-37.056833161463,1,"2014-09-13 07:27:06"
30,-10.942443604691,-37.056551055347,1,"2014-09-13 07:27:12"
31,-10.942783282087,-37.056367219419,1,"2014-09-13 07:27:17"
32,-10.943048396907,-37.056200789126,1,"2014-09-13 07:27:23"
34,-10.943157098505,-37.0552885005,1,"2014-09-13 07:27:34"
36,-10.943493453174,-37.053990627263,1,"2014-09-13 07:27:44"
38,-10.943949070593,-37.052336389456,1,"2014-09-13 07:27:56"
40,-10.944113442765,-37.051844717417,1,"2014-09-13 07:28:06"
41,-10.944164660117,-37.051645055291,1,"2014-09-13 07:28:12"
42,-10.94422240362,-37.051278190061,1,"2014-09-13 07:28:18"
43,-10.944110383763,-37.051043542522,1,"2014-09-13 07:28:23"
44,-10.943714951347,-37.051000327826,1,"2014-09-13 07:28:28"
45,-10.943191786905,-37.050999264982,1,"2014-09-13 07:28:34"
46,-10.942662024374,-37.050977995535,1,"2014-09-13 07:28:40"
47,-10.942237040232,-37.050899772868,1,"2014-09-13 07:28:45"
49,-10.941697431586,-37.050702980693,1,"2014-09-13 07:28:56"
65,-10.941473273848,-37.050587554565,1,"2014-09-13 07:30:26"
66,-10.941382259492,-37.050186779355,1,"2014-09-13 07:30:32"
67,-10.941664398163,-37.049771358249,1,"2014-09-13 07:30:37"
71,-10.943165927763,-37.047840474966,1,"2014-09-13 07:30:59"
72,-10.943627632306,-37.047384215256,1,"2014-09-13 07:31:04"
73,-10.944191871081,-37.046929708154,1,"2014-09-13 07:31:09"
74,-10.944888865868,-37.046459038243,1,"2014-09-13 07:31:15"
75,-10.945436955243,-37.046190921921,1,"2014-09-13 07:31:21"
79,-10.945754413155,-37.046100364149,1,"2014-09-13 07:31:44"
81,-10.946332507158,-37.045877141709,1,"2014-09-13 07:31:56"
82,-10.94677957119,-37.045724587306,1,"2014-09-13 07:32:02"
83,-10.947051194363,-37.04568527901,1,"2014-09-13 07:32:07"
90,-10.947085317456,-37.045782860656,1,"2014-09-13 07:32:48"
91,-10.939439419859,-37.062428381175,2,"2014-09-13 13:37:54"
92,-10.939442321638,-37.062569922389,2,"2014-09-13 13:37:59"
95,-10.938994018954,-37.06280405618,2,"2014-09-13 13:38:17"
96,-10.938603136838,-37.062964338117,2,"2014-09-13 13:38:22"
97,-10.938358070477,-37.062789782982,2,"2014-09-13 13:38:27"
98,-10.938292993341,-37.062372392136,2,"2014-09-13 13:38:32"
99,-10.93854426667,-37.061762376186,2,"2014-09-13 13:38:38"
100,-10.938897645145,-37.061057713809,2,"2014-09-13 13:38:44"
103,-10.939812585874,-37.059354654555,2,"2014-09-13 13:39:00"
104,-10.94003912178,-37.05899440086,2,"2014-09-13 13:39:06"
105,-10.940293745059,-37.058908552627,2,"2014-09-13 13:39:11"
106,-10.940445681142,-37.058993242676,2,"2014-09-13 13:39:16"
109,-10.940921874057,-37.059382622465,2,"2014-09-13 13:39:33"
111,-10.941432326776,-37.059846434212,2,"2014-09-13 13:39:44"
119,-10.942860966487,-37.061232803013,2,"2014-09-13 13:40:29"
121,-10.943507652197,-37.061921527729,2,"2014-09-13 13:40:39"
122,-10.944101382613,-37.062153400036,2,"2014-09-13 13:40:45"
123,-10.944684810432,-37.062304685407,2,"2014-09-13 13:40:50"
124,-10.945277594611,-37.062516538428,2,"2014-09-13 13:40:55"
125,-10.945946728476,-37.062812711829,2,"2014-09-13 13:41:01"
126,-10.946718593921,-37.063088685173,2,"2014-09-13 13:41:07"
127,-10.947301574274,-37.063353116612,2,"2014-09-13 13:41:12"
129,-10.948445865249,-37.064457854396,2,"2014-09-13 13:41:23"
130,-10.949048321652,-37.065008034858,2,"2014-09-13 13:41:28"
133,-10.95101859328,-37.066871676959,2,"2014-09-13 13:41:44"
134,-10.951648011653,-37.067249843745,2,"2014-09-13 13:41:50"
135,-10.951946167828,-37.067389942836,2,"2014-09-13 13:41:55"
138,-10.953735965727,-37.068346468491,2,"2014-09-13 13:42:12"
142,-10.955718365536,-37.06937444331,2,"2014-09-13 13:42:34"
143,-10.956459983681,-37.069515163855,2,"2014-09-13 13:42:39"
146,-10.959267004771,-37.069300384603,2,"2014-09-13 13:42:55"
148,-10.961645903041,-37.069178997781,2,"2014-09-13 13:43:06"
151,-10.964978532098,-37.068974290011,2,"2014-09-13 13:43:23"
152,-10.965684400084,-37.06850669225,2,"2014-09-13 13:43:29"
153,-10.965920444671,-37.067688983833,2,"2014-09-13 13:43:34"
156,-10.966467211295,-37.065340330888,2,"2014-09-13 13:43:50"
157,-10.966982125521,-37.064991466769,2,"2014-09-13 13:43:56"
158,-10.967641982347,-37.065284249749,2,"2014-09-13 13:44:02"
159,-10.968143265183,-37.065574942064,2,"2014-09-13 13:44:07"
160,-10.968718604818,-37.065998315862,2,"2014-09-13 13:44:13"
166,-10.970414505679,-37.067398955339,2,"2014-09-13 13:44:46"
167,-10.970482338845,-37.067353791492,2,"2014-09-13 13:44:51"
168,-10.970324835232,-37.067153374224,2,"2014-09-13 13:44:57"
169,-10.970203085515,-37.067047263076,2,"2014-09-13 13:45:02"
170,-10.970240757596,-37.066872997915,2,"2014-09-13 13:45:07"
171,-10.970463912429,-37.066599395582,2,"2014-09-13 13:45:13"
172,-10.970742724689,-37.066321074977,2,"2014-09-13 13:45:19"
173,-10.971054505176,-37.066476557629,2,"2014-09-13 13:45:25"
175,-10.971868273977,-37.067177481722,2,"2014-09-13 13:45:36"
177,-10.972153578781,-37.067443115036,2,"2014-09-13 13:45:46"
181,-10.973181962895,-37.068244714362,2,"2014-09-13 13:46:08"
185,-10.973406249998,-37.068481757187,2,"2014-09-13 13:46:29"
188,-10.97409122703,-37.0689424371,2,"2014-09-13 13:46:45"
189,-10.974184740687,-37.068861480345,2,"2014-09-13 13:46:51"
194,-10.974546073232,-37.068414225199,2,"2014-09-13 13:47:19"
196,-10.974796942172,-37.068067640579,2,"2014-09-13 13:47:29"
203,-10.974961548193,-37.067889437072,2,"2014-09-13 13:48:07"
204,-10.90316197,-37.04829366,3,"2014-09-17 05:09:23"
206,-10.9044166,-37.048209,3,"2014-09-17 05:09:44"
207,-10.90566667,-37.04826027,3,"2014-09-17 05:09:55"
208,-10.90665436,-37.04823489,3,"2014-09-17 05:10:05"
209,-10.90688271,-37.04826517,3,"2014-09-17 05:10:16"
210,-10.90698404,-37.04826304,3,"2014-09-17 05:10:27"
212,-10.90775002,-37.04812751,3,"2014-09-17 05:10:48"
214,-10.90856335,-37.04811518,3,"2014-09-17 05:11:09"
215,-10.90880862,-37.04837897,3,"2014-09-17 05:11:19"
216,-10.90884032,-37.04909024,3,"2014-09-17 05:11:29"
219,-10.90889749,-37.04971122,3,"2014-09-17 05:12:02"
226,-10.90887499,-37.05050216,3,"2014-09-17 05:13:17"
227,-10.90889296,-37.05237154,4,"2014-09-17 05:09:23"
228,-10.90904785,-37.05260632,4,"2014-09-17 05:09:34"
229,-10.90973536,-37.05266121,4,"2014-09-17 05:09:44"
230,-10.91010518,-37.05261827,4,"2014-09-17 05:09:55"
231,-10.91000414,-37.05256681,4,"2014-09-17 05:10:05"
232,-10.91048646,-37.05260013,4,"2014-09-17 05:10:16"
233,-10.91135943,-37.05269498,4,"2014-09-17 05:10:27"
234,-10.91229152,-37.05277322,4,"2014-09-17 05:10:37"
235,-10.91342033,-37.05270886,4,"2014-09-17 05:10:48"
236,-10.91431659,-37.05278532,4,"2014-09-17 05:10:58"
237,-10.91506897,-37.05266128,4,"2014-09-17 05:11:09"
238,-10.91544909,-37.05242861,4,"2014-09-17 05:11:19"
239,-10.91593664,-37.05267365,4,"2014-09-17 05:11:29"
240,-10.91667623,-37.05265982,4,"2014-09-17 05:11:40"
241,-10.91748816,-37.05281022,4,"2014-09-17 05:11:51"
242,-10.91801454,-37.05269153,4,"2014-09-17 05:12:02"
243,-10.91787201,-37.05279041,4,"2014-09-17 05:12:12"
244,-10.91785134,-37.05282591,4,"2014-09-17 05:12:23"
245,-10.91792023,-37.052902,4,"2014-09-17 05:12:34"
246,-10.91837675,-37.05296211,4,"2014-09-17 05:12:45"
247,-10.91850017,-37.0533763,4,"2014-09-17 05:12:55"
249,-10.91849799,-37.05357595,4,"2014-09-17 05:13:17"
250,-10.9184368,-37.05413224,4,"2014-09-17 05:17:13"
252,-10.91850858,-37.05446375,4,"2014-09-17 05:17:35"
254,-10.91839066,-37.05517003,4,"2014-09-17 05:17:56"
255,-10.91841456,-37.05612296,4,"2014-09-17 05:18:07"
256,-10.9185024,-37.05687158,4,"2014-09-17 05:18:18"
257,-10.9181955,-37.05773603,4,"2014-09-17 05:18:29"
258,-10.91861413,-37.05873733,4,"2014-09-17 05:18:40"
259,-10.91855651,-37.05895014,4,"2014-09-17 05:18:50"
260,-10.91835643,-37.05889317,4,"2014-09-17 05:19:00"
261,-10.91854341,-37.05965251,4,"2014-09-17 05:19:14"
264,-10.91841746,-37.06266105,4,"2014-09-17 05:19:46"
266,-10.91831496,-37.06300964,4,"2014-09-17 05:20:07"
268,-10.91837899,-37.06298774,4,"2014-09-17 05:20:27"
272,-10.91841453,-37.06321011,4,"2014-09-17 05:21:11"
273,-10.91847828,-37.06394916,4,"2014-09-17 05:21:22"
274,-10.91861829,-37.06397188,4,"2014-09-17 05:21:33"
283,-10.91852107,-37.06433786,4,"2014-09-17 05:23:56"
284,-10.91854463,-37.06535452,4,"2014-09-17 05:24:07"
285,-10.91862404,-37.06630359,4,"2014-09-17 05:24:18"
286,-10.91879595,-37.06735107,4,"2014-09-17 05:24:29"
287,-10.91863274,-37.06821768,4,"2014-09-17 05:24:40"
288,-10.91867692,-37.06827064,4,"2014-09-17 05:24:51"
289,-10.91864985,-37.06846654,4,"2014-09-17 05:25:01"
291,-10.91861158,-37.06845233,4,"2014-09-17 05:25:23"
293,-10.91863853,-37.06863415,4,"2014-09-17 05:25:45"
294,-10.91866434,-37.06936379,4,"2014-09-17 05:25:55"
295,-10.91857642,-37.06997517,4,"2014-09-17 05:26:05"
296,-10.91855849,-37.07080263,4,"2014-09-17 05:26:15"
297,-10.91839213,-37.07178178,4,"2014-09-17 05:26:26"
298,-10.91835998,-37.07254682,4,"2014-09-17 05:26:36"
299,-10.91817896,-37.07257863,4,"2014-09-17 05:26:46"
300,-10.91805938,-37.07302097,4,"2014-09-17 05:26:57"
301,-10.91824085,-37.07327488,4,"2014-09-17 05:27:07"
303,-10.9182579,-37.07365122,4,"2014-09-17 05:27:29"
304,-10.91824237,-37.07365167,4,"2014-09-17 05:27:39"
311,-10.91829794,-37.07417675,4,"2014-09-17 05:28:52"
313,-10.91834816,-37.07553953,4,"2014-09-17 05:29:12"
314,-10.91838258,-37.07596903,4,"2014-09-17 05:29:23"
315,-10.91830836,-37.076009,4,"2014-09-17 05:29:34"
317,-10.91835704,-37.07625065,4,"2014-09-17 05:29:55"
318,-10.91840705,-37.07718778,4,"2014-09-17 05:30:06"
319,-10.91836099,-37.07770235,4,"2014-09-17 05:30:16"
320,-10.91843053,-37.07811014,4,"2014-09-17 05:30:26"
321,-10.91859487,-37.07820678,4,"2014-09-17 05:30:37"
322,-10.91832849,-37.07835976,4,"2014-09-17 05:30:47"
323,-10.91841839,-37.07871173,4,"2014-09-17 05:30:57"
324,-10.91858561,-37.07912875,4,"2014-09-17 05:31:07"
325,-10.91853693,-37.08029196,4,"2014-09-17 05:31:17"
326,-10.91847022,-37.08132272,4,"2014-09-17 05:31:28"
327,-10.91864122,-37.08232053,4,"2014-09-17 05:31:39"
328,-10.91878421,-37.08390708,4,"2014-09-17 05:31:49"
329,-10.91902161,-37.08549171,4,"2014-09-17 05:31:59"
330,-10.91957646,-37.08678353,4,"2014-09-17 05:32:10"
333,-10.92026249,-37.08852046,4,"2014-09-17 05:32:41"
335,-10.92028812,-37.08971096,4,"2014-09-17 05:33:03"
336,-10.92086275,-37.09022295,4,"2014-09-17 05:33:13"
338,-10.92158668,-37.09245244,4,"2014-09-17 05:33:34"
339,-10.9219998,-37.09341251,4,"2014-09-17 05:33:44"
340,-10.92227813,-37.09389165,4,"2014-09-17 05:33:54"
341,-10.92251669,-37.09491899,4,"2014-09-17 05:34:05"
342,-10.9227356,-37.09633969,4,"2014-09-17 05:34:15"
343,-10.92225014,-37.09771002,4,"2014-09-17 05:34:26"
344,-10.92184819,-37.09906076,4,"2014-09-17 05:34:37"
345,-10.92144139,-37.09987985,4,"2014-09-17 05:34:47"
346,-10.92144481,-37.09995651,4,"2014-09-17 05:34:58"
347,-10.92130557,-37.10039003,4,"2014-09-17 05:35:09"
348,-10.92115916,-37.1016734,4,"2014-09-17 05:35:20"
349,-10.92137987,-37.10308411,4,"2014-09-17 05:35:31"
350,-10.92125626,-37.10455606,4,"2014-09-17 05:35:41"
351,-10.92161594,-37.10520467,4,"2014-09-17 05:35:52"
353,-10.92374638,-37.10509667,4,"2014-09-17 05:36:14"
354,-10.92379817,-37.10503713,4,"2014-09-17 05:36:24"
355,-10.92420939,-37.10468552,4,"2014-09-17 05:36:34"
